awaywon,awaylost,homewon,homelost,homeWins,homeLosses,homeOvertimeLosses,homeConferenceWins,homeConferenceLosses,homeDivisionWins,homeDivisionLosses,homeShutoutWins,homeConferenceRank,homeDivisionRank,awayWins,awayLosses,awayOvertimeLosses,awayConferenceWins,awayConferenceLosses,awayDivisionWins,awayDivisionLosses,awayShutoutWins,awayConferenceRank,awayDivisionRank,IsClosed,AwayTeam,HomeTeam,AwayTeamMoneyLine,HomeTeamMoneyLine,PointSpread,OverUnder,PointSpreadAwayTeamMoneyLine,PointSpreadHomeTeamMoneyLine,HomeRotationNumber,AwayRotationNumber,OverPayout,UnderPayout,outcome
5.0,0.0,0.0,6.0,31,37,14,16,34,11,15,4,13,7,39,32,11,28,22,14,12,5,11,6,True,WPG,ANA,-45.0,39.0,0.2,0.6000000000000001,59.0,-73.0,23.0,23.0,-37.0,-36.0,home
4.0,2.0,3.0,3.0,45,30,7,30,20,16,10,4,8,5,32,37,13,17,33,9,17,3,12,6,True,SJ,NAS,39.0,-46.0,-0.5,0.7000000000000001,-72.0,58.0,21.0,21.0,33.0,-40.0,home
8.0,0.0,0.0,7.0,28,42,12,16,34,5,21,3,14,7,54,21,7,34,16,16,10,7,3,2,True,TOR,CHI,-74.0,61.0,0.2,0.7000000000000001,38.0,-45.0,25.0,25.0,-40.0,-34.0,home
3.0,1.0,3.0,3.0,49,27,6,34,16,21,5,4,5,2,25,46,11,11,39,8,18,1,15,8,True,PHI,EDM,55.0,-66.0,-0.5,0.7000000000000001,-49.0,40.0,27.0,26.0,-43.0,36.0,away
6.0,0.0,2.0,5.0,46,30,6,27,23,14,12,2,7,4,43,31,8,27,23,16,10,3,9,4,True,VEG,DAL,46.0,-56.0,-0.5,0.6000000000000001,-62.0,51.0,26.0,26.0,34.0,-41.0,home
3.0,4.0,7.0,0.0,44,26,12,29,21,16,10,8,8,4,32,40,10,22,28,8,18,4,12,6,True,DET,WAS,59.0,-72.0,-0.5,0.7000000000000001,-44.0,37.0,24.0,24.0,-34.0,-40.0,home
0.0,5.0,3.0,4.0,58,18,6,37,13,19,7,5,1,1,51,26,5,31,19,18,8,4,6,4,True,BOS,FLA,37.0,-43.0,-0.5,0.7000000000000001,-77.0,62.0,25.0,24.0,-36.0,-38.0,home
0.0,6.0,1.0,5.0,54,20,8,30,20,17,9,6,2,1,51,26,5,31,19,18,8,4,6,4,True,BOS,CAR,40.0,-48.0,-0.5,0.6000000000000001,-72.0,58.0,0.0,0.0,-38.0,-36.0,home
6.0,0.0,1.0,6.0,44,27,11,21,29,12,14,5,6,3,39,32,11,28,22,14,12,5,11,6,True,WPG,LA,-35.0,-39.0,-0.5,0.7000000000000001,-91.0,72.0,2.0,2.0,34.0,-41.0,home
1.0,6.0,4.0,3.0,46,25,11,28,22,14,12,7,7,3,50,21,11,30,20,16,10,11,3,1,True,CGY,PIT,-36.0,-37.0,-0.5,0.6000000000000001,-90.0,72.0,0.0,0.0,-37.0,-37.0,home
